#{"t_start": 1783133417.3466227, "env_id": "None"}
r,l,t
0.0,81,8.641462
0.03,81,14.9374
0.42,98,22.092397
0.36,83,28.504472
0.0,81,34.780619
0.57,91,41.577593
1.76,319,59.829605
0.55,142,69.183875
0.32,86,75.740325
0.0,81,82.050284
0.35,81,88.353415
0.0,81,94.667014
0.27,81,100.968602
0.01,81,107.270045
0.13,81,113.566939
0.03,81,119.856019
0.09,93,126.759345
0.0,81,133.073955
0.02,81,139.384001
0.0,81,145.693587
0.0,81,152.005693
0.0,81,158.322446
6.89,579,189.51707
0.07,99,196.722727
0.09,81,203.021869
0.49,118,211.178839
0.86,131,219.982743
0.63,84,226.432845
0.17,81,232.71877
0.58,101,240.020311
0.01,84,246.475918
2.83,284,262.923908
0.1,86,269.525089
0.06,83,275.927734
1.94,211,288.736348
0.0,81,295.037088
0.25,120,303.287483
3.92,378,324.444277
0.19,84,330.903401
0.17,81,337.211243
0.94,157,347.312157
1.61,259,362.499252
0.02,81,368.806636
0.85,203,381.222548
0.0,81,387.533242
0.0,81,393.830939
0.0,81,400.268762
0.13,88,406.91954
1.06,125,415.413372
0.0,81,421.714097
0.77,81,428.020735
0.0,81,434.335742
0.17,81,440.636031
0.0,81,446.939078
0.99,141,456.247654
0.41,117,464.346836
0.52,126,472.982699
0.57,132,481.851706
0.4,85,488.360829
0.49,156,498.404602
0.13,81,504.763441
0.46,166,515.319412
0.99,179,526.525705
2.34,251,541.337174
2.96,325,559.848798
0.0,81,566.160675
0.1,81,572.472717
0.14,112,580.347505
0.0,81,586.662969
0.74,152,596.514128
0.28,91,603.309453
0.81,190,615.131433
0.71,145,624.6279
0.15,81,630.915688
0.1,81,637.220427
2.15,178,648.382697
0.42,131,657.181804
0.0,81,663.485003
1.9,249,678.19709
0.29,91,684.989081
2.68,342,704.33051
0.51,89,711.044133
2.47,232,724.886215
0.28,82,731.241827
1.13,125,739.757039
0.11,91,746.568229
1.97,184,758.029799
0.0,81,764.331854
0.0,81,770.642947
0.15,93,777.534576
0.14,96,784.603763
1.7,199,796.801641
2.85,315,814.813869
2.67,307,832.405028
0.91,146,842.036658
0.45,81,848.3353
2.3,273,864.244715
0.0,81,870.546699
0.21,103,877.956373
0.0,81,884.258715
0.55,105,891.744681
0.3,81,898.055743
0.03,81,904.366291
0.0,81,910.654894
5.97,506,938.192491
1.27,177,949.297455
0.06,82,955.658372
0.82,129,964.375719
3.68,317,982.481719
1.99,215,995.925427
3.74,241,1010.241521
0.85,186,1021.805238
0.15,81,1028.098119
2.18,245,1042.598789
8.46,468,1068.2561
0.16,111,1076.061837
0.24,81,1082.366066
3.11,273,1098.271441
3.78,324,1116.739634
0.55,134,1125.700281
0.01,81,1131.996374
8.46,443,1156.410616
10.12,522,1184.763392
8.7,569,1215.463519
1.98,179,1226.684565
10.0,498,1253.835231
0.77,134,1262.799636
1.22,165,1273.30141
10.73,598,1305.457894
1.16,192,1317.327976
10.69,556,1347.383123
1.44,137,1356.494104
10.93,409,1379.192054
1.22,232,1393.046536
0.41,99,1400.237709
10.64,395,1422.635329
3.58,289,1439.347429
1.99,264,1454.806724
10.9,451,1479.769373
10.04,456,1504.816163
1.6,139,1514.021662
0.88,141,1523.320339
0.76,133,1532.229853
9.86,376,1554.710522
3.47,312,1572.563707
10.67,470,1598.877157
4.24,282,1615.237486
10.38,502,1642.605634
4.21,304,1660.064002
2.78,238,1674.219799
2.5,171,1685.020115
2.74,147,1694.618204
3.15,183,1706.035403
10.16,312,1723.877723
2.48,188,1735.526904
2.27,168,1746.194832
10.66,385,1767.696488
10.78,421,1791.014159
2.43,160,1801.270736
3.02,317,1819.384528
2.66,195,1831.396569
2.17,201,1843.698764
0.01,81,1850.002017
2.23,194,1861.950304
10.54,374,1882.914303
2.47,132,1891.771936
2.5,196,1903.83381
2.17,183,1915.244256
3.23,176,1926.299904
10.37,317,1944.41624
2.57,195,1956.417299
2.43,173,1967.326205
3.02,188,1978.988847
2.05,191,1990.78423
2.44,166,2001.341813
0.16,81,2007.634846
2.18,193,2019.527817
2.77,306,2037.077833
10.16,366,2057.629616
0.17,95,2064.642651
10.14,394,2086.610908
10.08,350,2106.375713
10.21,358,2126.528771
10.21,385,2148.028616
10.46,294,2164.980802
10.2,351,2184.787343
10.08,339,2204.477526
10.29,281,2220.793471
1.01,118,2228.947007
0.39,101,2236.252623
10.13,351,2256.048772
10.43,363,2276.465065
1.84,167,2287.079237
2.27,206,2299.633208
1.88,150,2309.39206
3.02,209,2322.086059
1.85,147,2331.688087
2.75,213,2344.588728
2.33,218,2357.755919
2.68,166,2368.313042
2.42,203,2380.723148
10.37,301,2398.04569
2.48,191,2409.860327
10.36,415,2432.867385
10.46,419,2456.075204
10.48,325,2474.581516
10.07,439,2498.773504
10.49,300,2516.037628
10.46,378,2537.201357
10.44,364,2557.655475
10.32,380,2578.927722
8.32,395,2600.936186
10.17,320,2619.191949
9.8,328,2637.831984
9.71,331,2656.647866
1.08,204,2669.1111
